year,Metro_Area_Name,80%_AMI,120%_AMI
2010,"Bakersfield-Delano, CA MSA",41520.0,62280.0
2010,"Chico, CA MSA",43040.0,64560.0
2010,"El Centro, CA MSA",36160.0,54240.0
2010,"Fresno, CA MSA",41760.0,62640.0
2010,"Hanford-Corcoran, CA MSA",42320.0,63480.0
2010,"Humboldt County, CA",42560.0,63840.0
2010,"Los Angeles-Long Beach, CA HUD Metro FMR Area",50400.0,75600.0
2010,"Merced, CA MSA",39760.0,59640.0
2010,"Modesto, CA MSA",47600.0,71400.0
2010,Multiple,45680.0,68520.0
2010,"Napa, CA MSA",65440.0,98160.0
2010,"Oakland-Fremont, CA HUD Metro FMR Area",72240.0,108360.0
2010,"Orange County, CA HUD Metro FMR Area",69760.0,104640.0
2010,"Oxnard-Thousand Oaks-Ventura, CA MSA",69360.0,104040.0
2010,"Riverside-San Bernardino-Ontario, CA MSA",52000.0,78000.0
2010,"Sacramento--Arden-Arcade--Roseville, CA HUD Metro FMR Area",58480.0,87720.0
2010,"Salinas, CA MSA",52880.0,79320.0
2010,"San Diego-Carlsbad-San Marcos, CA MSA",60400.0,90600.0
2010,"San Francisco, CA HUD Metro FMR Area",79520.0,119280.0
2010,"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",82800.0,124200.0
2010,"San Luis Obispo-Paso Robles, CA MSA",58000.0,87000.0
2010,"Santa Barbara-Santa Maria-Goleta, CA MSA",57120.0,85680.0
2010,"Santa Cruz-Watsonville, CA MSA",67360.0,101040.0
2010,"Santa Rosa-Petaluma, CA MSA",64320.0,96480.0
2010,"Stockton, CA MSA",50480.0,75720.0
2010,"Vallejo-Fairfield, CA MSA",63360.0,95040.0
2010,"Visalia-Porterville, CA MSA",38560.0,57840.0
2010,"Yolo, CA HUD Metro FMR Area",58000.0,87000.0
2011,"Bakersfield-Delano, CA MSA",42640.0,63960.0
2011,"Chico, CA MSA",46320.0,69480.0
2011,"El Centro, CA MSA",35520.0,53280.0
2011,"Fresno, CA MSA",43760.0,65640.0
2011,"Hanford-Corcoran, CA MSA",42880.0,64320.0
2011,"Humboldt County, CA",43920.0,65880.0
2011,"Los Angeles-Long Beach, CA HUD Metro FMR Area",51200.0,76800.0
2011,"Merced, CA MSA",40400.0,60600.0
2011,"Modesto, CA MSA",48880.0,73320.0
2011,Multiple,46880.0,70320.0
2011,"Napa, CA MSA",68000.0,102000.0
2011,"Oakland-Fremont, CA HUD Metro FMR Area",73840.0,110760.0
2011,"Orange County, CA HUD Metro FMR Area",67360.0,101040.0
2011,"Oxnard-Thousand Oaks-Ventura, CA MSA",70480.0,105720.0
2011,"Riverside-San Bernardino-Ontario, CA MSA",50000.0,75000.0
2011,"Sacramento--Arden-Arcade--Roseville, CA HUD Metro FMR Area",60080.0,90120.0
2011,"Salinas, CA MSA",54240.0,81360.0
2011,"San Diego-Carlsbad-San Marcos, CA MSA",59920.0,89880.0
2011,"San Francisco, CA HUD Metro FMR Area",81280.0,121920.0
2011,"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",82880.0,124320.0
2011,"San Luis Obispo-Paso Robles, CA MSA",59520.0,89280.0
2011,"Santa Barbara-Santa Maria-Goleta, CA MSA",57840.0,86760.0
2011,"Santa Cruz-Watsonville, CA MSA",68640.0,102960.0
2011,"Santa Rosa-Petaluma, CA MSA",65200.0,97800.0
2011,"Stockton, CA MSA",52320.0,78480.0
2011,"Vallejo-Fairfield, CA MSA",65200.0,97800.0
2011,"Visalia-Porterville, CA MSA",39040.0,58560.0
2011,"Yolo, CA HUD Metro FMR Area",60640.0,90960.0
2012,"Bakersfield-Delano, CA MSA",43280.0,64920.0
2012,"Chico, CA MSA",46960.0,70440.0
2012,"El Centro, CA MSA",36000.0,54000.0
2012,"Fresno, CA MSA",44400.0,66600.0
2012,"Hanford-Corcoran, CA MSA",43440.0,65160.0
2012,"Humboldt County, CA",44480.0,66720.0
2012,"Los Angeles-Long Beach, CA HUD Metro FMR Area",51840.0,77760.0
2012,"Madera-Chowchilla, CA MSA",43680.0,65520.0
2012,"Merced, CA MSA",40960.0,61440.0
2012,"Modesto, CA MSA",49600.0,74400.0
2012,Multiple,47520.0,71280.0
2012,"Napa, CA MSA",68880.0,103320.0
2012,"Oakland-Fremont, CA HUD Metro FMR Area",74800.0,112200.0
2012,"Orange County, CA HUD Metro FMR Area",68240.0,102360.0
2012,"Oxnard-Thousand Oaks-Ventura, CA MSA",71440.0,107160.0
2012,"Redding, CA MSA",47200.0,70800.0
2012,"Riverside-San Bernardino-Ontario, CA MSA",50640.0,75960.0
2012,"Sacramento--Arden-Arcade--Roseville, CA HUD Metro FMR Area",60880.0,91320.0
2012,"Salinas, CA MSA",54960.0,82440.0
2012,"San Diego-Carlsbad-San Marcos, CA MSA",60720.0,91080.0
2012,"San Francisco, CA HUD Metro FMR Area",82400.0,123600.0
2012,"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",84000.0,126000.0
2012,"San Luis Obispo-Paso Robles, CA MSA",60320.0,90480.0
2012,"Santa Barbara-Santa Maria-Goleta, CA MSA",58640.0,87960.0
2012,"Santa Cruz-Watsonville, CA MSA",69600.0,104400.0
2012,"Santa Rosa-Petaluma, CA MSA",66080.0,99120.0
2012,"Stockton, CA MSA",53040.0,79560.0
2012,"Vallejo-Fairfield, CA MSA",66080.0,99120.0
2012,"Visalia-Porterville, CA MSA",39600.0,59400.0
2012,"Yolo, CA HUD Metro FMR Area",61520.0,92280.0
2013,"Bakersfield-Delano, CA MSA",42000.0,63000.0
2013,"Chico, CA MSA",44560.0,66840.0
2013,"El Centro, CA MSA",38400.0,57600.0
2013,"Fresno, CA MSA",43680.0,65520.0
2013,"Hanford-Corcoran, CA MSA",40320.0,60480.0
2013,"Humboldt County, CA",43520.0,65280.0
2013,"Los Angeles-Long Beach, CA HUD Metro FMR Area",49520.0,74280.0
2013,"Madera-Chowchilla, CA MSA",43600.0,65400.0
2013,"Merced, CA MSA",40160.0,60240.0
2013,"Modesto, CA MSA",45280.0,67920.0
2013,Multiple,46080.0,69120.0
2013,"Napa, CA MSA",64480.0,96720.0
2013,"Oakland-Fremont, CA HUD Metro FMR Area",71360.0,107040.0
2013,"Orange County, CA HUD Metro FMR Area",67280.0,100920.0
2013,"Oxnard-Thousand Oaks-Ventura, CA MSA",69360.0,104040.0
2013,"Redding, CA MSA",43520.0,65280.0
2013,"Riverside-San Bernardino-Ontario, CA MSA",50080.0,75120.0
2013,"Sacramento--Arden-Arcade--Roseville, CA HUD Metro FMR Area",56720.0,85080.0
2013,"Salinas, CA MSA",50480.0,75720.0
2013,"San Diego-Carlsbad-San Marcos, CA MSA",57840.0,86760.0
2013,"San Francisco, CA HUD Metro FMR Area",80960.0,121440.0
2013,"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",81040.0,121560.0
2013,"San Luis Obispo-Paso Robles, CA MSA",56720.0,85080.0
2013,"Santa Barbara-Santa Maria-Goleta, CA MSA",56800.0,85200.0
2013,"Santa Cruz-Watsonville, CA MSA",59040.0,88560.0
2013,"Santa Rosa-Petaluma, CA MSA",59920.0,89880.0
2013,"Stockton, CA MSA",46880.0,70320.0
2013,"Vallejo-Fairfield, CA MSA",63040.0,94560.0
2013,"Visalia-Porterville, CA MSA",38800.0,58200.0
2013,"Yolo, CA HUD Metro FMR Area",60000.0,90000.0
2014,"Bakersfield-Delano, CA MSA",41360.0,62040.0
2014,"Chico, CA MSA",43200.0,64800.0
2014,"El Centro, CA MSA",34400.0,51600.0
2014,"Fresno, CA MSA",38960.0,58440.0
2014,"Hanford-Corcoran, CA MSA",42960.0,64440.0
2014,"Humboldt County, CA",41680.0,62520.0
2014,"Los Angeles-Long Beach, CA HUD Metro FMR Area",48480.0,72720.0
2014,"Madera-Chowchilla, CA MSA",41600.0,62400.0
2014,"Merced, CA MSA",36000.0,54000.0
2014,"Modesto, CA MSA",42160.0,63240.0
2014,Multiple,45840.0,68760.0
2014,"Napa, CA MSA",56240.0,84360.0
2014,"Oakland-Fremont, CA HUD Metro FMR Area",70800.0,106200.0
2014,"Orange County, CA HUD Metro FMR Area",67920.0,101880.0
2014,"Oxnard-Thousand Oaks-Ventura, CA MSA",70960.0,106440.0
2014,"Redding, CA MSA",41200.0,61800.0
2014,"Riverside-San Bernardino-Ontario, CA MSA",48560.0,72840.0
2014,"Sacramento--Arden-Arcade--Roseville, CA HUD Metro FMR Area",54400.0,81600.0
2014,"Salinas, CA MSA",47280.0,70920.0
2014,"San Diego-Carlsbad-San Marcos, CA MSA",58160.0,87240.0
2014,"San Francisco, CA HUD Metro FMR Area",77680.0,116520.0
2014,"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",81520.0,122280.0
2014,"San Luis Obispo-Paso Robles, CA MSA",61600.0,92400.0
2014,"Santa Barbara-Santa Maria-Goleta, CA MSA",58240.0,87360.0
2014,"Santa Cruz-Watsonville, CA MSA",62320.0,93480.0
2014,"Santa Rosa-Petaluma, CA MSA",61520.0,92280.0
2014,"Stockton, CA MSA",46560.0,69840.0
2014,"Vallejo-Fairfield, CA MSA",61360.0,92040.0
2014,"Visalia-Porterville, CA MSA",36080.0,54120.0
2014,"Yolo, CA HUD Metro FMR Area",59120.0,88680.0
2015,"Bakersfield-Delano, CA MSA",41600.0,62400.0
2015,"Chico, CA MSA",43120.0,64680.0
2015,"El Centro, CA MSA",35600.0,53400.0
2015,"Fresno, CA MSA",38080.0,57120.0
2015,"Hanford-Corcoran, CA MSA",40000.0,60000.0
2015,"Humboldt County, CA",44960.0,67440.0
2015,"Los Angeles-Long Beach, CA HUD Metro FMR Area",50400.0,75600.0
2015,"Madera-Chowchilla, CA MSA",36640.0,54960.0
2015,"Merced, CA MSA",42000.0,63000.0
2015,"Modesto, CA MSA",42640.0,63960.0
2015,Multiple,47120.0,70680.0
2015,"Napa, CA MSA",67360.0,101040.0
2015,"Oakland-Fremont, CA HUD Metro FMR Area",74320.0,111480.0
2015,"Orange County, CA HUD Metro FMR Area",68720.0,103080.0
2015,"Oxnard-Thousand Oaks-Ventura, CA MSA",68240.0,102360.0
2015,"Redding, CA MSA",45040.0,67560.0
2015,"Riverside-San Bernardino-Ontario, CA MSA",48400.0,72600.0
2015,"Sacramento--Arden-Arcade--Roseville, CA HUD Metro FMR Area",57200.0,85800.0
2015,"Salinas, CA MSA",52000.0,78000.0
2015,"San Diego-Carlsbad-San Marcos, CA MSA",58400.0,87600.0
2015,"San Francisco, CA HUD Metro FMR Area",81520.0,122280.0
2015,"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",85040.0,127560.0
2015,"San Luis Obispo-Paso Robles, CA MSA",61680.0,92520.0
2015,"Santa Barbara-Santa Maria-Goleta, CA MSA",60320.0,90480.0
2015,"Santa Cruz-Watsonville, CA MSA",69600.0,104400.0
2015,"Santa Rosa-Petaluma, CA MSA",58880.0,88320.0
2015,"Stockton, CA MSA",47680.0,71520.0
2015,"Vallejo-Fairfield, CA MSA",59600.0,89400.0
2015,"Visalia-Porterville, CA MSA",35200.0,52800.0
2015,"Yolo, CA HUD Metro FMR Area",57760.0,86640.0
2016,"Bakersfield, CA MSA",42640.0,63960.0
2016,"Chico, CA MSA",45680.0,68520.0
2016,"El Centro, CA MSA",38720.0,58080.0
2016,"Fresno, CA MSA",39600.0,59400.0
2016,"Hanford-Corcoran, CA MSA",38000.0,57000.0
2016,"Humboldt County, CA",41200.0,61800.0
2016,"Los Angeles-Long Beach-Glendale, CA HUD Metro FMR Area",49920.0,74880.0
2016,"Madera, CA MSA",37520.0,56280.0
2016,"Merced, CA MSA",35680.0,53520.0
2016,"Modesto, CA MSA",45440.0,68160.0
2016,Multiple,45280.0,67920.0
2016,"Napa, CA MSA",66000.0,99000.0
2016,"Oakland-Fremont, CA HUD Metro FMR Area",74880.0,112320.0
2016,"Oxnard-Thousand Oaks-Ventura, CA MSA",70640.0,105960.0
2016,"Redding, CA MSA",40720.0,61080.0
2016,"Riverside-San Bernardino-Ontario, CA MSA",49120.0,73680.0
2016,"Sacramento--Roseville--Arden-Arcade, CA HUD Metro FMR Area",55520.0,83280.0
2016,"Salinas, CA MSA",50800.0,76200.0
2016,"San Diego-Carlsbad, CA MSA",58800.0,88200.0
2016,"San Francisco, CA HUD Metro FMR Area",86160.0,129240.0
2016,"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",85680.0,128520.0
2016,"San Luis Obispo-Paso Robles-Arroyo Grande, CA MSA",61120.0,91680.0
2016,"Santa Ana-Anaheim-Irvine, CA HUD Metro FMR Area",68000.0,102000.0
2016,"Santa Cruz-Watsonville, CA MSA",68080.0,102120.0
2016,"Santa Maria-Santa Barbara, CA MSA",61680.0,92520.0
2016,"Santa Rosa, CA MSA",60720.0,91080.0
2016,"Stockton-Lodi, CA MSA",46880.0,70320.0
2016,"Vallejo-Fairfield, CA MSA",62080.0,93120.0
2016,"Visalia-Porterville, CA MSA",33440.0,50160.0
2016,"Yolo, CA HUD Metro FMR Area",59280.0,88920.0
2017,"Bakersfield, CA MSA",42400.0,63600.0
2017,"Chico, CA MSA",50080.0,75120.0
2017,"El Centro, CA MSA",39760.0,59640.0
2017,"Fresno, CA MSA",40000.0,60000.0
2017,"Hanford-Corcoran, CA MSA",40160.0,60240.0
2017,"Humboldt County, CA",43600.0,65400.0
2017,"Los Angeles-Long Beach-Glendale, CA HUD Metro FMR Area",51440.0,77160.0
2017,"Madera, CA MSA",41040.0,61560.0
2017,"Merced, CA MSA",38800.0,58200.0
2017,"Modesto, CA MSA",46000.0,69000.0
2017,Multiple,47600.0,71400.0
2017,"Napa, CA MSA",72800.0,109200.0
2017,"Oakland-Fremont, CA HUD Metro FMR Area",77920.0,116880.0
2017,"Oxnard-Thousand Oaks-Ventura, CA MSA",68480.0,102720.0
2017,"Redding, CA MSA",49440.0,74160.0
2017,"Riverside-San Bernardino-Ontario, CA MSA",50560.0,75840.0
2017,"Sacramento--Roseville--Arden-Arcade, CA HUD Metro FMR Area",60160.0,90240.0
2017,"Salinas, CA MSA",50480.0,75720.0
2017,"San Diego-Carlsbad, CA MSA",63440.0,95160.0
2017,"San Francisco, CA HUD Metro FMR Area",92240.0,138360.0
2017,"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",90640.0,135960.0
2017,"San Luis Obispo-Paso Robles-Arroyo Grande, CA MSA",66560.0,99840.0
2017,"Santa Ana-Anaheim-Irvine, CA HUD Metro FMR Area",70400.0,105600.0
2017,"Santa Cruz-Watsonville, CA MSA",66640.0,99960.0
2017,"Santa Maria-Santa Barbara, CA MSA",59120.0,88680.0
2017,"Santa Rosa, CA MSA",67120.0,100680.0
2017,"Stockton-Lodi, CA MSA",48880.0,73320.0
2017,"Vallejo-Fairfield, CA MSA",64320.0,96480.0
2017,"Visalia-Porterville, CA MSA",37840.0,56760.0
2017,"Yolo, CA HUD Metro FMR Area",59760.0,89640.0
2018,"Bakersfield, CA MSA",46960.0,70440.0
2018,"Chico, CA MSA",48400.0,72600.0
2018,"El Centro, CA MSA",38560.0,57840.0
2018,"Fresno, CA MSA",44400.0,66600.0
2018,"Hanford-Corcoran, CA MSA",44320.0,66480.0
2018,"Humboldt County, CA",43760.0,65640.0
2018,"Los Angeles-Long Beach-Glendale, CA HUD Metro FMR Area",55440.0,83160.0
2018,"Madera, CA MSA",44160.0,66240.0
2018,"Merced, CA MSA",38560.0,57840.0
2018,"Modesto, CA MSA",48560.0,72840.0
2018,Multiple,50560.0,75840.0
2018,"Napa, CA MSA",70800.0,106200.0
2018,"Oakland-Fremont, CA HUD Metro FMR Area",83520.0,125280.0
2018,"Oxnard-Thousand Oaks-Ventura, CA MSA",76800.0,115200.0
2018,"Redding, CA MSA",49120.0,73680.0
2018,"Riverside-San Bernardino-Ontario, CA MSA",52640.0,78960.0
2018,"Sacramento--Roseville--Arden-Arcade, CA HUD Metro FMR Area",64080.0,96120.0
2018,"Salinas, CA MSA",55280.0,82920.0
2018,"San Diego-Carlsbad, CA MSA",65440.0,98160.0
2018,"San Francisco, CA HUD Metro FMR Area",94720.0,142080.0
2018,"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",100160.0,150240.0
2018,"San Luis Obispo-Paso Robles-Arroyo Grande, CA MSA",64480.0,96720.0
2018,"Santa Ana-Anaheim-Irvine, CA HUD Metro FMR Area",74160.0,111240.0
2018,"Santa Cruz-Watsonville, CA MSA",65120.0,97680.0
2018,"Santa Maria-Santa Barbara, CA MSA",63680.0,95520.0
2018,"Santa Rosa, CA MSA",67280.0,100920.0
2018,"Stockton-Lodi, CA MSA",50960.0,76440.0
2018,"Vallejo-Fairfield, CA MSA",66960.0,100440.0
2018,"Visalia-Porterville, CA MSA",39360.0,59040.0
2018,"Yolo, CA HUD Metro FMR Area",68080.0,102120.0
2019,"Bakersfield, CA MSA",46320.0,69480.0
2019,"Chico, CA MSA",53200.0,79800.0
2019,"El Centro, CA MSA",48560.0,72840.0
2019,"Fresno, CA MSA",45840.0,68760.0
2019,"Hanford-Corcoran, CA MSA",46480.0,69720.0
2019,"Humboldt County, CA",49120.0,73680.0
2019,"Los Angeles-Long Beach-Glendale, CA HUD Metro FMR Area",58480.0,87720.0
2019,"Madera, CA MSA",47280.0,70920.0
2019,"Merced, CA MSA",44400.0,66600.0
2019,"Modesto, CA MSA",51600.0,77400.0
2019,Multiple,50880.0,76320.0
2019,"Napa, CA MSA",80320.0,120480.0
2019,"Oakland-Fremont, CA HUD Metro FMR Area",89360.0,134040.0
2019,"Oxnard-Thousand Oaks-Ventura, CA MSA",78240.0,117360.0
2019,"Redding, CA MSA",49520.0,74280.0
2019,"Riverside-San Bernardino-Ontario, CA MSA",55760.0,83640.0
2019,"Sacramento--Roseville--Arden-Arcade, CA HUD Metro FMR Area",66880.0,100320.0
2019,"Salinas, CA MSA",59280.0,88920.0
2019,"San Diego-Carlsbad, CA MSA",69040.0,103560.0
2019,"San Francisco, CA HUD Metro FMR Area",109440.0,164160.0
2019,"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",105120.0,157680.0
2019,"San Luis Obispo-Paso Robles-Arroyo Grande, CA MSA",70000.0,105000.0
2019,"Santa Ana-Anaheim-Irvine, CA HUD Metro FMR Area",78320.0,117480.0
2019,"Santa Cruz-Watsonville, CA MSA",78400.0,117600.0
2019,"Santa Maria-Santa Barbara, CA MSA",63440.0,95160.0
2019,"Santa Rosa, CA MSA",74640.0,111960.0
2019,"Stockton-Lodi, CA MSA",57120.0,85680.0
2019,"Vallejo-Fairfield, CA MSA",68560.0,102840.0
2019,"Visalia-Porterville, CA MSA",40720.0,61080.0
2019,"Yolo, CA HUD Metro FMR Area",70320.0,105480.0
